vars_selection_tab,Freq,r2,MAG,mean_rel_ab,scenario,median_present,q25_present,q75_present,median_future,q25_future,q75_future,median_change,q25_change,q75_change,median_rel_change,q25_rel_change,q75_rel_change,wilcox_p,wilcox_stat
bioclim_PC2,0.8,0.265201175156732,336R_concoct_171_sub,2.11614822548437e-05,126,17.1647385509672,11.2396688514,27.3132890831002,20.9990673798918,13.6057257471471,31.3882726467245,2.52480319485061,1.16592638007959,7.02421385186506,0.197590572389922,1.16592638007959,7.02421385186506,4.78800918473482e-173,1009134
chla_predicted,0.1,0.265201175156732,336R_concoct_171_sub,2.11614822548437e-05,126,17.1647385509672,11.2396688514,27.3132890831002,20.9990673798918,13.6057257471471,31.3882726467245,2.52480319485061,1.16592638007959,7.02421385186506,0.197590572389922,1.16592638007959,7.02421385186506,4.78800918473482e-173,1009134
pc_ph_predicted,0.1,0.265201175156732,336R_concoct_171_sub,2.11614822548437e-05,126,17.1647385509672,11.2396688514,27.3132890831002,20.9990673798918,13.6057257471471,31.3882726467245,2.52480319485061,1.16592638007959,7.02421385186506,0.197590572389922,1.16592638007959,7.02421385186506,4.78800918473482e-173,1009134
abs_latitude,1,0.264350940401839,336R_concoct_171_sub,2.11614822548437e-05,370,17.1647385509672,11.2611885985524,27.3132890831002,24.515762904439,17.5321254626122,47.3960882911439,8.21533530494229,3.23333110065007,24.9948784919185,0.62981670816767,3.23333110065007,24.9948784919185,2.26647363003902e-181,1020227
bioclim_PC1,1,0.264350940401839,336R_concoct_171_sub,2.11614822548437e-05,370,17.1647385509672,11.2611885985524,27.3132890831002,24.515762904439,17.5321254626122,47.3960882911439,8.21533530494229,3.23333110065007,24.9948784919185,0.62981670816767,3.23333110065007,24.9948784919185,2.26647363003902e-181,1020227
bioclim_PC2,0.8,0.264350940401839,336R_concoct_171_sub,2.11614822548437e-05,370,17.1647385509672,11.2611885985524,27.3132890831002,24.515762904439,17.5321254626122,47.3960882911439,8.21533530494229,3.23333110065007,24.9948784919185,0.62981670816767,3.23333110065007,24.9948784919185,2.26647363003902e-181,1020227
chla_predicted,0.1,0.264350940401839,336R_concoct_171_sub,2.11614822548437e-05,370,17.1647385509672,11.2611885985524,27.3132890831002,24.515762904439,17.5321254626122,47.3960882911439,8.21533530494229,3.23333110065007,24.9948784919185,0.62981670816767,3.23333110065007,24.9948784919185,2.26647363003902e-181,1020227
pc_ph_predicted,0.1,0.264350940401839,336R_concoct_171_sub,2.11614822548437e-05,370,17.1647385509672,11.2611885985524,27.3132890831002,24.515762904439,17.5321254626122,47.3960882911439,8.21533530494229,3.23333110065007,24.9948784919185,0.62981670816767,3.23333110065007,24.9948784919185,2.26647363003902e-181,1020227
abs_latitude,1,0.265399087941173,336R_concoct_171_sub,2.11614822548437e-05,585,17.1647385509672,11.2396688514,27.3132890831002,26.3731193419525,18.6274663581678,55.4101076016319,10.9006247075183,4.06302718868785,33.8420810264079,0.827642476717256,4.06302718868785,33.8420810264079,1.96117229482313e-187,1028145
bioclim_PC1,1,0.265399087941173,336R_concoct_171_sub,2.11614822548437e-05,585,17.1647385509672,11.2396688514,27.3132890831002,26.3731193419525,18.6274663581678,55.4101076016319,10.9006247075183,4.06302718868785,33.8420810264079,0.827642476717256,4.06302718868785,33.8420810264079,1.96117229482313e-187,1028145
bioclim_PC2,0.8,0.265399087941173,336R_concoct_171_sub,2.11614822548437e-05,585,17.1647385509672,11.2396688514,27.3132890831002,26.3731193419525,18.6274663581678,55.4101076016319,10.9006247075183,4.06302718868785,33.8420810264079,0.827642476717256,4.06302718868785,33.8420810264079,1.96117229482313e-187,1028145
chla_predicted,0.1,0.265399087941173,336R_concoct_171_sub,2.11614822548437e-05,585,17.1647385509672,11.2396688514,27.3132890831002,26.3731193419525,18.6274663581678,55.4101076016319,10.9006247075183,4.06302718868785,33.8420810264079,0.827642476717256,4.06302718868785,33.8420810264079,1.96117229482313e-187,1028145
pc_ph_predicted,0.1,0.265399087941173,336R_concoct_171_sub,2.11614822548437e-05,585,17.1647385509672,11.2396688514,27.3132890831002,26.3731193419525,18.6274663581678,55.4101076016319,10.9006247075183,4.06302718868785,33.8420810264079,0.827642476717256,4.06302718868785,33.8420810264079,1.96117229482313e-187,1028145
abs_latitude,1,0.0778671240047555,336R_concoct_189_sub,1.59005938337427e-05,126,1.53882628724348,0.935196501440115,3.71380014126173,1.89403369730095,1.15426864834449,4.3385224169378,0.342665936210642,0.2004631630045,0.662390053664843,0.224045149336028,0.2004631630045,0.662390053664843,3.81245211612928e-242,1094443
bioclim_PC1,0.9,0.0778671240047555,336R_concoct_189_sub,1.59005938337427e-05,126,1.53882628724348,0.935196501440115,3.71380014126173,1.89403369730095,1.15426864834449,4.3385224169378,0.342665936210642,0.2004631630045,0.662390053664843,0.224045149336028,0.2004631630045,0.662390053664843,3.81245211612928e-242,1094443
clim_scd,0.1,0.0778671240047555,336R_concoct_189_sub,1.59005938337427e-05,126,1.53882628724348,0.935196501440115,3.71380014126173,1.89403369730095,1.15426864834449,4.3385224169378,0.342665936210642,0.2004631630045,0.662390053664843,0.224045149336028,0.2004631630045,0.662390053664843,3.81245211612928e-242,1094443
elevation,0.1,0.0778671240047555,336R_concoct_189_sub,1.59005938337427e-05,126,1.53882628724348,0.935196501440115,3.71380014126173,1.89403369730095,1.15426864834449,4.3385224169378,0.342665936210642,0.2004631630045,0.662390053664843,0.224045149336028,0.2004631630045,0.662390053664843,3.81245211612928e-242,1094443
nut_din_predicted,0.9,0.0778671240047555,336R_concoct_189_sub,1.59005938337427e-05,126,1.53882628724348,0.935196501440115,3.71380014126173,1.89403369730095,1.15426864834449,4.3385224169378,0.342665936210642,0.2004631630045,0.662390053664843,0.224045149336028,0.2004631630045,0.662390053664843,3.81245211612928e-242,1094443
abs_latitude,1,0.077832768983328,336R_concoct_189_sub,1.59005938337427e-05,370,1.53926293324855,0.934278780096446,3.7139514033747,2.43010415562959,1.45831518538182,5.23756027247708,0.75328530912013,0.447086137741852,1.36519953098838,0.557808850453084,0.447086137741852,1.36519953098838,5.12286825339975e-222,1071028
bioclim_PC1,0.9,0.077832768983328,336R_concoct_189_sub,1.59005938337427e-05,370,1.53926293324855,0.934278780096446,3.7139514033747,2.43010415562959,1.45831518538182,5.23756027247708,0.75328530912013,0.447086137741852,1.36519953098838,0.557808850453084,0.447086137741852,1.36519953098838,5.12286825339975e-222,1071028
